TIMESTAMP,PID,NAME,MEM_MB,PWR_W,GPU_TIME_MS,GPU_PACKET_COUNT
NOW,14940,"C:\Users\semse\OneDrive\Documents\WSA\WSA_2407.40000.4.0_x64\WsaClient\WsaClient.exe",17592186044415,2.9,0.00,0
NOW,24960,"C:\Program Files\BraveSoftware\Brave-Browser\Application\brave.exe",17592186044415,2.9,0.00,0
NOW,34036,"C:\Program Files\BraveSoftware\Brave-Browser\Application\brave.exe",17592186044415,2.9,0.00,0
NOW,28920,"Unknown",17592186044415,2.9,1.94,557
NOW,14940,"C:\Users\semse\OneDrive\Documents\WSA\WSA_2407.40000.4.0_x64\WsaClient\WsaClient.exe",17592186044415,2.9,0.00,0
NOW,24960,"C:\Program Files\BraveSoftware\Brave-Browser\Application\brave.exe",17592186044415,2.9,0.00,0
NOW,34036,"C:\Program Files\BraveSoftware\Brave-Browser\Application\brave.exe",17592186044415,2.9,0.00,0
NOW,28920,"Unknown",17592186044415,2.9,0.68,158
NOW,14940,"C:\Users\semse\OneDrive\Documents\WSA\WSA_2407.40000.4.0_x64\WsaClient\WsaClient.exe",17592186044415,2.9,0.00,0
NOW,24960,"C:\Program Files\BraveSoftware\Brave-Browser\Application\brave.exe",17592186044415,2.9,0.00,0
NOW,34036,"C:\Program Files\BraveSoftware\Brave-Browser\Application\brave.exe",17592186044415,2.9,0.00,0
NOW,28920,"Unknown",17592186044415,2.9,0.66,216
NOW,14940,"C:\Users\semse\OneDrive\Documents\WSA\WSA_2407.40000.4.0_x64\WsaClient\WsaClient.exe",17592186044415,3.1,0.00,0
NOW,24960,"C:\Program Files\BraveSoftware\Brave-Browser\Application\brave.exe",17592186044415,3.1,0.00,0
NOW,34036,"C:\Program Files\BraveSoftware\Brave-Browser\Application\brave.exe",17592186044415,3.1,0.00,0
NOW,28920,"Unknown",17592186044415,3.1,0.09,40
NOW,14940,"C:\Users\semse\OneDrive\Documents\WSA\WSA_2407.40000.4.0_x64\WsaClient\WsaClient.exe",17592186044415,3.0,0.00,0
NOW,24960,"C:\Program Files\BraveSoftware\Brave-Browser\Application\brave.exe",17592186044415,3.0,0.00,0
NOW,34036,"C:\Program Files\BraveSoftware\Brave-Browser\Application\brave.exe",17592186044415,3.0,0.00,0
NOW,28920,"Unknown",17592186044415,3.0,0.53,196
NOW,14940,"C:\Users\semse\OneDrive\Documents\WSA\WSA_2407.40000.4.0_x64\WsaClient\WsaClient.exe",17592186044415,2.8,0.00,0
NOW,24960,"C:\Program Files\BraveSoftware\Brave-Browser\Application\brave.exe",17592186044415,2.8,0.00,0
NOW,34036,"C:\Program Files\BraveSoftware\Brave-Browser\Application\brave.exe",17592186044415,2.8,0.00,0
NOW,28920,"Unknown",17592186044415,2.8,0.09,40
NOW,14940,"C:\Users\semse\OneDrive\Documents\WSA\WSA_2407.40000.4.0_x64\WsaClient\WsaClient.exe",17592186044415,2.8,0.00,0
NOW,24960,"C:\Program Files\BraveSoftware\Brave-Browser\Application\brave.exe",17592186044415,2.8,0.00,0
NOW,34036,"C:\Program Files\BraveSoftware\Brave-Browser\Application\brave.exe",17592186044415,2.8,0.00,0
NOW,28920,"Unknown",17592186044415,2.8,0.37,127
NOW,14940,"C:\Users\semse\OneDrive\Documents\WSA\WSA_2407.40000.4.0_x64\WsaClient\WsaClient.exe",17592186044415,2.9,0.00,0
NOW,24960,"C:\Program Files\BraveSoftware\Brave-Browser\Application\brave.exe",17592186044415,2.9,0.00,0
